localhost,eventos,ConsultarInfoSitioWeb,sitioweb,CampoTipoDominioSitioWeb,captura,
localhost,eventos,ConsultarInfoSitioWeb,coleccion,CampoTipoCamelCaseMetodo,captura,
localhost,eventos,ConsultarInfoBaseDeDatos,columnfamily_name,CampoTipoCaracterSinEspaciosMinusculas,captura,
localhost,eventos,ConsultarInfoBaseDeDatos,tipotransaccion,CampoTipoCaracterSinEspaciosMayusculas,captura,
localhost,eventos,ConsultarInfoTabla,columnfamily_name,CampoTipoCaracterSinEspaciosMinusculas,captura,
localhost,eventos,ConsultarInfoTabla,keyspace_name,CampoTipoDominioSitioWeb,captura,
localhost,eventos,CrearEvento,sitioweb,CampoTipoDominioSitioWeb,captura,
localhost,eventos,CrearEvento,pagina,CampoTipoURL,captura,
localhost,eventos,CrearEvento,evento,CampoTipoCamelCaseClase,captura,
localhost,eventos,CrearEvento,transaccion,CampoTipoCamelCaseMetodo,captura,
localhost,eventos,CrearEvento,tipotransaccion,CampoTipoCaracterSinEspaciosMayusculas,captura,
localhost,eventos,CrearEvento,basededatos,CampoTipoCaracterSinEspaciosMinusculas,captura,
localhost,eventos,CrearEvento,descripcion,CampoOpcionalSinValidacion,captura,
localhost,eventos,CrearEvento,orden,CampoTipoNumericoSinEspacios,logicaCodigo,
localhost,eventos,CrearEvento,sentenciacql,CampoObligatorioSinValidacion,logicaCodigo,
localhost,eventos,CrearEvento,keyspace_name,CampoTipoCaracterSinEspaciosMinusculas,captura,
localhost,eventos,CrearEvento,clausula,CampoTipoCaracterSinEspaciosMayusculas,captura,
localhost,eventos,CrearEvento,parametro,CampoTipoCaracterSinEspaciosMinusculas,captura,
localhost,eventos,CrearEvento,valorpordefecto,CampoOpcionalSinValidacion,captura,
